arquivo,palavra,ascii,par_id,escritor,semente,real,marca,onde,indice,medivel,fileiras_pauta,faixa_massa,faixa_massa_rel,faixa_densidade,tem_gemeo,diff_delta_rel,e2_lido,e2_cer,e1_escore,e1_presente,categoria
aqueles-f3aa73__acc__w375__s2.png,àqueles,aqueles,aqueles-f3aa73,375,2,False,grave,acima,0,True,0,6,0.02091,0.00852,True,0.0073,,,0.0073,,
aquele-305a09__acc__w375__s2.png,àquele,aquele,aquele-305a09,375,2,False,grave,acima,0,True,0,42,0.19178,0.05615,True,0.0,,,0.0,,
aquela-5f0a77__acc__w375__s2.png,àquela,aquela,aquela-5f0a77,375,2,False,grave,acima,0,True,0,51,0.2602,0.06439,True,0.0,,,0.0,,
aquelas-cda0ac__acc__w375__s2.png,àquelas,aquelas,aquelas-cda0ac,375,2,False,grave,acima,0,True,0,5,0.01724,0.0071,True,0.0,,,0.0,,
epoque-f59620__acc__w375__s2.png,èpoque,epoque,epoque-f59620,375,2,False,grave,acima,0,True,0,59,0.18671,0.11346,True,0.0,,,0.0,,
importancia-39f2c4__acc__w375__s2.png,importância,importancia,importancia-39f2c4,375,2,False,circunflexo,acima,6,True,0,59,0.29353,0.05043,True,-0.02033,,,-0.02033,,
negligencia-07e163__acc__w375__s2.png,negligência,negligencia,negligencia-07e163,375,2,False,circunflexo,acima,6,True,0,0,0.0,0.0,True,0.0,,,0.0,,
influencia-754992__acc__w375__s2.png,influência,influencia,influencia-754992,375,2,False,circunflexo,acima,5,True,0,11,0.04435,0.00849,True,-0.10606,,,-0.10606,,
ineficiencia-65d1bb__acc__w375__s2.png,ineficiência,ineficiencia,ineficiencia-65d1bb,375,2,False,circunflexo,acima,7,True,0,50,0.20408,0.04517,True,0.07071,,,0.07071,,
porque-90c5f0__acc__w375__s2.png,porquê,porque,porque-90c5f0,375,2,False,circunflexo,acima,5,True,0,0,0.0,0.0,True,-0.16443,,,-0.16443,,
pode-9faff7__acc__w375__s2.png,pôde,pode,pode-9faff7,375,2,False,circunflexo,acima,1,True,0,25,0.07911,0.02437,True,-0.06719,,,-0.06719,,
depressao-2d26ca__acc__w375__s2.png,depressão,depressao,depressao-2d26ca,375,2,False,til,acima,7,True,0,0,0.0,0.0,True,-0.00792,,,-0.00792,,
cidadaos-88079d__acc__w375__s2.png,cidadãos,cidadaos,cidadaos-88079d,375,2,False,til,acima,5,True,0,140,0.24867,0.07778,True,-0.07328,,,-0.07328,,
questao-72d350__acc__w375__s2.png,questão,questao,questao-72d350,375,2,False,til,acima,5,True,0,69,0.2875,0.1036,True,-0.00435,,,-0.00435,,
exclusao-7a9dad__acc__w375__s2.png,exclusão,exclusao,exclusao-7a9dad,375,2,False,til,acima,6,True,0,34,0.05893,0.02076,True,0.07143,,,0.07143,,
regioes-ba061c__acc__w375__s2.png,regiões,regioes,regioes-ba061c,375,2,False,til,acima,4,True,0,17,0.06439,0.02698,True,-0.00373,,,-0.00373,,
visao-ee76db__acc__w375__s2.png,visão,visao,visao-ee76db,375,2,False,til,acima,3,True,0,54,0.06827,0.02738,True,0.00694,,,0.00694,,
doencas-7ee44f__acc__w375__s2.png,doenças,doencas,doencas-7ee44f,375,2,False,cedilha,abaixo,4,True,0,22,0.04741,0.12222,True,0.08048,,,0.08048,,
doenca-0cc034__acc__w375__s2.png,doença,doenca,doenca-0cc034,375,2,False,cedilha,abaixo,4,True,0,2,0.00351,0.01449,True,0.11111,,,0.11111,,
espaco-222fe5__acc__w375__s2.png,espaço,espaco,espaco-222fe5,375,2,False,cedilha,abaixo,4,True,0,0,0.0,0.0,True,-0.02075,,,-0.02075,,
preco-f110c7__acc__w375__s2.png,preço,preco,preco-f110c7,375,2,False,cedilha,abaixo,3,True,0,23,0.0285,0.01179,True,0.39036,,,0.39036,,
espacos-a321bd__acc__w375__s2.png,espaços,espacos,espacos-a321bd,375,2,False,cedilha,abaixo,4,True,0,21,0.06625,0.01132,True,-0.03061,,,-0.03061,,
presenca-d6581f__acc__w375__s2.png,presença,presenca,presenca-d6581f,375,2,False,cedilha,abaixo,6,True,0,46,0.11646,0.02355,True,0.04688,,,0.04688,,
